rec_id_1,rec_id_2
rec-5-dup-0,rec-5-org
rec-6-dup-0,rec-6-org
rec-16-dup-0,rec-16-org
rec-17-dup-0,rec-17-org
rec-23-dup-0,rec-23-org
rec-30-dup-0,rec-30-org
rec-37-dup-0,rec-37-org
rec-40-dup-0,rec-40-org
rec-45-dup-0,rec-45-org
rec-48-dup-0,rec-48-org
rec-50-dup-0,rec-50-org
rec-52-dup-0,rec-52-org
rec-53-dup-0,rec-53-org
rec-61-dup-0,rec-61-org
rec-63-dup-0,rec-63-org
rec-64-dup-0,rec-64-org
rec-67-dup-0,rec-67-org
rec-69-dup-0,rec-69-org
rec-71-dup-0,rec-71-org
rec-72-dup-0,rec-72-org
rec-76-dup-0,rec-76-org
rec-80-dup-0,rec-80-org
rec-86-dup-0,rec-86-org
rec-94-dup-0,rec-94-org
rec-96-dup-0,rec-96-org
rec-102-dup-0,rec-102-org
rec-108-dup-0,rec-108-org
rec-109-dup-0,rec-109-org
rec-111-dup-0,rec-111-org
rec-112-dup-0,rec-112-org
rec-114-dup-0,rec-114-org
rec-120-dup-0,rec-120-org
rec-123-dup-0,rec-123-org
rec-129-dup-0,rec-129-org
rec-130-dup-0,rec-130-org
rec-131-dup-0,rec-131-org
rec-133-dup-0,rec-133-org
rec-157-dup-0,rec-157-org
rec-159-dup-0,rec-159-org
rec-160-dup-0,rec-160-org
rec-162-dup-0,rec-162-org
rec-164-dup-0,rec-164-org
rec-167-dup-0,rec-167-org
rec-170-dup-0,rec-170-org
rec-174-dup-0,rec-174-org
rec-175-dup-0,rec-175-org
rec-182-dup-0,rec-182-org
rec-183-dup-0,rec-183-org
rec-184-dup-0,rec-184-org
rec-191-dup-0,rec-191-org
rec-201-dup-0,rec-201-org
rec-202-dup-0,rec-202-org
rec-205-dup-0,rec-205-org
rec-215-dup-0,rec-215-org
rec-219-dup-0,rec-219-org
rec-221-dup-0,rec-221-org
rec-222-dup-0,rec-222-org
rec-229-dup-0,rec-229-org
rec-230-dup-0,rec-230-org
rec-231-dup-0,rec-231-org
rec-232-dup-0,rec-232-org
rec-233-dup-0,rec-233-org
rec-234-dup-0,rec-234-org
rec-237-dup-0,rec-237-org
rec-247-dup-0,rec-247-org
rec-248-dup-0,rec-248-org
rec-253-dup-0,rec-253-org
rec-256-dup-0,rec-256-org
rec-260-dup-0,rec-260-org
rec-266-dup-0,rec-266-org
rec-267-dup-0,rec-267-org
rec-271-dup-0,rec-271-org
rec-272-dup-0,rec-272-org
rec-273-dup-0,rec-273-org
rec-274-dup-0,rec-274-org
rec-275-dup-0,rec-275-org
rec-281-dup-0,rec-281-org
rec-282-dup-0,rec-282-org
rec-285-dup-0,rec-285-org
rec-289-dup-0,rec-289-org
rec-294-dup-0,rec-294-org
rec-297-dup-0,rec-297-org
rec-308-dup-0,rec-308-org
rec-312-dup-0,rec-312-org
rec-313-dup-0,rec-313-org
rec-315-dup-0,rec-315-org
rec-318-dup-0,rec-318-org
rec-341-dup-0,rec-341-org
rec-342-dup-0,rec-342-org
rec-344-dup-0,rec-344-org
rec-346-dup-0,rec-346-org
rec-347-dup-0,rec-347-org
rec-350-dup-0,rec-350-org
rec-354-dup-0,rec-354-org
rec-357-dup-0,rec-357-org
rec-365-dup-0,rec-365-org
rec-374-dup-0,rec-374-org
rec-389-dup-0,rec-389-org
rec-392-dup-0,rec-392-org
rec-398-dup-0,rec-398-org
rec-399-dup-0,rec-399-org
rec-400-dup-0,rec-400-org
rec-401-dup-0,rec-401-org
rec-402-dup-0,rec-402-org
rec-403-dup-0,rec-403-org
rec-409-dup-0,rec-409-org
rec-417-dup-0,rec-417-org
rec-418-dup-0,rec-418-org
rec-420-dup-0,rec-420-org
rec-427-dup-0,rec-427-org
rec-429-dup-0,rec-429-org
rec-432-dup-0,rec-432-org
rec-434-dup-0,rec-434-org
rec-435-dup-0,rec-435-org
rec-437-dup-0,rec-437-org
